# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table from left to right are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (6) litter id
#  (7) litter size  
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
#  (7) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
#  (8) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
id,generation,litterid,littersize,sex,coatcolor,age,pretrainfreeze,freezetocontext,freezetocue
1144A,F2,3,14,F,A,67,0.0249,0.0391,0.25895
1145A,F2,3,14,M,A,67,0.1174,0.137,0.2589
1146A,F2,3,14,F,A,67,0.137,0.1495,0.0982
1147A,F2,3,14,M,A,67,0.0961,0.1157,0.11605
1148A,F2,3,14,M,A,67,0.0569,0.2295,0.09375
1149A,F2,3,14,F,A,67,0.0516,0.0872,0.2366
1150A,F2,3,14,F,A,67,0.0445,0.1708,0.20535
1151A,F2,3,14,F,B,67,0.0676,0.0996,0.03125
1152A,F2,3,14,M,B,67,0.0587,0.1121,0.03125
1153A,F2,3,14,F,B,67,0.0142,0.1085,0.0848
1154A,F2,3,14,M,W,67,0.0285,0.0907,0.38395
1155A,F2,3,14,M,W,67,0.0516,0.0943,0.49555
1156A,F2,3,14,F,W,67,0.0409,0.0463,0.2366
1157A,F2,3,14,F,W,67,0.0053,0.0302,0.83485
1224A,F2,3,13,M,B,55,0.0338,0.194,0.70535
1225A,F2,3,13,M,B,55,0.121,0.2349,0.5759
1226A,F2,3,13,M,B,55,0.0658,0.1922,0.32145
1227A,F2,3,13,M,B,55,0.1228,0.0552,0.0982
1228A,F2,3,13,F,B,55,0.0605,0.3754,0.8214
1229A,F2,3,13,F,B,55,0.0587,0.1495,0.6875
1230A,F2,3,13,M,B,55,0.0641,0.2585,0.8616
1231A,F2,3,13,M,B,55,0.0535,0.1655,0.72325
1232A,F2,3,13,F,W,55,0.0142,0.016,0.2723
1233A,F2,3,13,M,W,55,0.0409,0.0677,0.76785
1234A,F2,3,13,F,W,55,0.032,0.121,0.4598
1235A,F2,3,13,F,W,55,0.0249,0.0552,0.8482
1236A,F2,3,13,M,W,55,0.016,0.0036,0.12055
1343A,F2,5,13,F,A,59,0.0714,0.1851,0.48215
1344A,F2,5,13,F,A,59,0.0392,0.2651,NA
1345A,F2,5,13,F,A,59,0.0571,0.0979,0.08485
1346A,F2,5,13,M,A,59,0.0338,0.1103,0.8616
1347A,F2,5,13,F,A,59,0.1125,0.1406,0.52235
1348A,F2,5,13,F,A,59,0.0179,0.1584,0.72325
1349A,F2,5,13,F,A,59,0.0802,0.1068,0.2857
1350A,F2,5,13,F,B,59,0.057,0.1566,0.0402
1351A,F2,5,13,F,B,59,0.0556,0.0427,0.30805
1352A,F2,5,13,F,B,59,0.0481,0.048,0.1518
1353A,F2,5,13,M,B,59,0.0356,0.121,0.05355
1354A,F2,5,13,M,W,59,0.0196,0.0907,0.51785
1355A,F2,5,13,M,W,59,0.0071,0.0623,0.23215
1364A,F2,4,14,F,B,53,0,0.1103,0.99555
1365A,F2,4,14,F,B,53,0.0695,0.2633,0.71875
1366A,F2,4,14,M,B,53,0.0802,0.3968,0.5268
1367A,F2,4,14,F,B,53,0.0446,0.0819,0.8973
1368A,F2,4,14,M,B,53,0.0196,0.1957,0.2857
1369A,F2,4,14,M,B,53,0.0089,0.0695,0.2411
1370A,F2,4,14,F,W,53,0,0.0303,0.2098
1371A,F2,4,14,M,W,53,0.0071,0.0553,0.66515
1372A,F2,4,14,M,W,53,0.0018,0.0143,0.2009
1373A,F2,4,14,M,W,53,0.0018,0.082,0.3259
1374A,F2,4,14,F,W,53,0.0071,0.0945,0.46425
1375A,F2,4,14,F,W,53,0.0053,0.0606,0.45985
1376A,F2,4,14,F,W,53,0.0178,0.1337,0.84375
1377A,F2,4,14,M,W,53,0.0481,0.0979,0.27675
1430A,F2,6,13,F,A,69,0.0516,0.1444,0.1364
1431A,F2,6,13,F,A,69,0.0676,0.3048,0.33635
1432A,F2,6,13,M,A,69,0.0196,0.0357,0.08035
1433A,F2,6,13,M,A,69,0.0927,0.2286,0.5982
1434A,F2,6,13,F,B,69,0.0302,0.1979,0.40455
1435A,F2,6,13,M,B,69,0.0517,0.1554,0.2009
1436A,F2,6,13,F,B,69,0.0285,0.0644,0.0893
1437A,F2,6,13,F,B,69,0.0196,0.0125,0.30805
1438A,F2,6,13,M,W,69,0.0196,0.1839,0.63395
1439A,F2,6,13,F,W,69,0.0409,0.0676,0.37055
1440A,F2,6,13,F,W,69,0.0018,0.0071,0.2277
1441A,F2,6,13,M,W,69,0.016,0.1388,0.5982
1442A,F2,6,13,F,W,69,0.0285,0.306,0.94195
1443A,F2,5,12,M,B,65,0.0374,0.0517,0.39545
1444A,F2,5,12,M,B,65,0.082,0.0747,0.0357
1445A,F2,5,12,F,B,65,0.0961,0.048,0.64735
1446A,F2,5,12,M,B,65,0.0374,0.0623,0.045
1447A,F2,5,12,M,B,65,0.0178,0.0286,0.04915
1448A,F2,5,12,F,B,65,0.032,0.0552,0.05805
1449A,F2,5,12,M,B,65,0.0338,0.0644,0.29915
1450A,F2,5,12,M,B,65,0.0587,0.0733,0.1607
1452A,F2,5,12,M,W,65,0.0285,0.0463,0.23335
1453A,F2,5,12,F,W,65,0.0285,0.032,0.10715
1454A,F2,5,12,M,W,65,0.0303,0.5053,0.85195
7481A,F2,1,9,F,B,71,0.0036,0.4349,0.4785
7482A,F2,1,9,F,W,71,0.0214,0.0642,0.24735
7511A,F2,2,12,F,B,57,0.0943,0.3719,0.45425
7521A,F2,2,12,F,B,57,0.032,0.4591,0.6806
7531A,F2,2,12,F,B,57,0.0605,0.2011,0.54685
7541A,F2,2,12,M,B,57,0.0125,0.2995,0.5607
7551A,F2,2,12,M,B,57,0.0339,0.2442,0.42685
7561A,F2,2,12,M,B,57,0.0713,0.2602,0.25
7571A,F2,2,12,F,W,57,0.0214,0.3648,0.50345
7581A,F2,2,12,M,W,57,0.0285,0.1337,0.28935
7591A,F2,2,12,F,W,57,0.0142,0.258,0.0803
7601A,F2,2,12,F,W,57,0,0.2589,0.75625
7611A,F2,2,12,F,W,57,0,0.5526,0.1874
7621A,F2,2,12,F,W,57,0.0089,0.2567,0.34265
7651A,F2,2,14,M,B,57,0.0623,0.0286,0.01785
7661A,F2,2,14,F,B,57,0.0071,0.0766,0.3337
7671A,F2,2,14,M,B,57,0.0731,0.1143,0.56925
7681A,F2,2,14,F,B,57,0.0125,0.1622,0.4802
7691A,F2,2,14,M,B,57,0.0695,0.0554,0.55215
7701A,F2,2,14,F,B,57,0.0499,0.306,0.44065
7711A,F2,2,14,F,B,57,0.016,0.3048,0.16055
9941A,F2,2,14,F,W,64,0.0107,0.1762,0.51995
10871A,F2,5,17,M,B,66,0.0712,0.2936,0.6295
10872A,F2,5,17,F,B,66,0.0374,0.4502,0.7545
1,F34,1,10,F,A,63,0.016,0.0267,0.11165
2,F34,1,10,M,A,63,0.1103,0.1192,0.12055
3,F34,1,10,M,A,63,0.0249,0.2722,0.1964
4,F34,1,10,M,A,63,0.0427,0.0516,0.3929
5,F34,1,10,M,B,63,0.0569,0.0445,0.3929
6,F34,1,10,M,W,63,0.0302,0.0071,0.14735
7,F34,1,10,M,W,63,0.0854,0.0783,0.52235
8,F34,1,10,M,W,63,0.0214,0.0142,0.3125
9,F34,1,10,M,W,63,0.0053,0.032,0.13395
10,F34,1,10,F,W,63,0,0.0409,0.0848
11,F34,1,9,F,W,63,0.0196,0.0676,0.4152
12,F34,1,9,F,B,63,0.032,0.0178,0.05805
13,F34,1,9,M,B,63,0.0605,0.1628,0.88835
14,F34,1,9,M,B,63,0.0498,0.1055,0.0179
15,F34,1,9,M,B,63,0.0214,0.0376,0.66075
16,F34,1,9,F,B,63,0.0338,0.2562,0.34825
17,F34,1,9,F,B,63,0.032,0.105,0.3348
18,F34,1,9,M,B,63,0.0498,0.0569,0.6875
19,F34,1,9,M,B,63,0.0569,0.1139,0.15625
20,F34,1,6,M,A,63,0.0285,0.0624,0.07145
21,F34,1,6,M,A,63,0.0552,0.0428,0
22,F34,1,6,F,B,63,0.025,0.0196,0.05805
23,F34,1,6,F,W,63,0.0143,0.0321,0.07145
24,F34,1,6,F,W,63,0.0143,0.0731,0.6741
25,F34,1,6,M,W,63,0.048,0.0357,0.3839
26,F34,1,8,M,A,61,NA,0.1996,0.7143
27,F34,1,8,F,A,61,0.0267,0.0552,0.5089
28,F34,1,8,F,B,61,0.0356,0.1157,0.09375
29,F34,1,8,M,B,61,NA,0.0214,0.14735
30,F34,1,8,M,W,61,NA,0.0357,0.1741
31,F34,1,8,M,W,61,NA,0.0428,0.08035
32,F34,1,8,M,W,61,0.0143,0.1655,0.8393
33,F34,1,8,F,W,61,0.0196,0.1281,0.67855
34,F34,1,13,M,A,61,0.0961,0.0907,0.5134
35,F34,1,13,F,A,61,0.0232,0.0658,0.1116
36,F34,1,13,M,A,61,0.1121,0.1441,0.27235
37,F34,1,13,M,A,61,0.0587,0.2228,0.1295
38,F34,1,13,F,A,61,0.0856,0.1157,0.22765
39,F34,1,13,M,B,61,0.0249,0.0232,0.21875
40,F34,1,13,F,B,61,0.0677,0.0872,0.1652
41,F34,1,13,M,B,61,0.0302,0.0839,0.0268
42,F34,1,13,M,B,61,0.0214,0.0714,0.0848
43,F34,1,13,M,B,61,0.0464,0.0231,0.0804
44,F34,1,13,M,B,61,0.0393,0.169,0.70535
45,F34,1,13,F,B,61,0.0231,0.0178,0.0848
46,F34,1,13,F,B,61,0.016,0.0089,0.14285
47,F34,1,7,M,A,61,0.0036,0.0374,0.07145
49,F34,1,7,M,A,61,0.0339,0.2153,0.62055
50,F34,1,7,M,A,61,0.0393,0.1726,0.54465
51,F34,1,7,M,B,61,0.0768,0.073,0.0625
52,F34,1,7,F,B,61,0.0036,0.0516,0.24555
53,F34,1,7,F,B,61,0.0231,0.0409,0.47325
54,F34,1,9,F,B,61,0.0267,NA,0.7366
55,F34,1,9,F,B,61,0.0338,0.1886,0.4107
56,F34,1,9,M,B,61,0.0053,0.3577,0.8839
57,F34,1,9,M,B,61,NA,0.1335,0.52235
58,F34,1,9,F,B,61,0.0125,0.1014,0.3482
59,F34,1,9,M,B,61,NA,0.0712,0.7009
60,F34,1,9,M,W,61,0.0071,0.1192,0.7455
61,F34,1,9,F,W,61,0.0214,0.411,0.8214
62,F34,1,9,M,W,61,0.0071,0.0215,0.40625
63,F34,1,11,F,B,61,0.0267,0.0658,0.08035
64,F34,1,11,M,B,61,0.0872,0.0819,0.1875
65,F34,1,11,M,B,61,0.0552,0.0996,0.00895
67,F34,1,11,F,B,61,0.0302,0.0872,0.55805
68,F34,1,11,M,B,61,0.0641,0.0249,0.17855
69,F34,1,11,F,W,61,0.0107,0.048,0.1741
70,F34,1,11,F,W,61,0,0.0623,0.4911
72,F34,1,11,M,W,61,0.0374,0.0285,0.0893
74,F34,1,8,M,A,60,0.0961,0.0606,0.27235
75,F34,1,8,M,B,60,0.1014,0.0856,0.34375
76,F34,1,8,M,B,60,0.1121,0.1016,0.0134
77,F34,1,8,M,W,60,0.0214,0.0445,0.125
78,F34,1,8,M,W,60,0.0391,0.0302,0.10265
79,F34,1,8,M,W,60,0.0498,0.0249,0.36605
80,F34,1,8,M,W,60,0.0463,0.0427,0.61605
81,F34,1,8,M,W,60,0.0142,0.2776,0.85715
82,F34,1,10,M,A,60,0.0374,0.0945,0.125
83,F34,1,10,F,A,60,NA,0.1477,0.54015
84,F34,1,10,F,A,60,NA,0.0356,0.05805
85,F34,1,10,F,A,60,0.0356,0.2295,0.45535
86,F34,1,10,F,A,60,0.0445,0.1246,0.3393
88,F34,1,10,F,W,60,0,0.0747,0.57145
89,F34,1,10,M,W,60,0,0.0605,0.73215
90,F34,1,10,F,W,60,0,0.0142,0.125
91,F34,1,10,F,W,60,0.0071,0.0463,0.60265
92,F34,1,7,M,A,60,0.0249,0.1566,0.0134
93,F34,1,7,M,A,60,0.0429,0.1157,0.625
94,F34,1,7,F,A,60,0.0214,0.3286,0.40625
95,F34,1,7,F,A,60,0.0427,0.2125,0.72765
97,F34,1,7,F,W,60,0.0071,0.025,0.3304
98,F34,1,7,F,W,60,0.0107,0.0464,0.14285
99,F34,1,5,F,A,59,0.0178,0.2054,0.45535
100,F34,1,5,M,A,59,0.0196,0.0588,0.067
101,F34,1,5,M,B,59,0.0338,0.1105,0.19645
102,F34,1,5,M,NA,59,0.1139,0.1569,0.5759
103,F34,1,5,F,B,59,0.0285,0.0694,0.1741
104,F34,1,10,M,A,58,0.0249,0.1388,0.21875
105,F34,1,10,M,A,58,0.0302,0.1281,0.0268
106,F34,1,10,F,A,58,0.0249,0.0946,0.1696
107,F34,1,10,F,A,58,0.0427,0.0375,0.375
108,F34,1,10,F,B,58,0.0107,0.0857,0.6964
109,F34,1,10,M,B,58,0.0552,0.1886,0.4375
110,F34,1,10,F,B,58,0.0125,0.0929,0.45535
111,F34,1,10,M,B,58,0.0552,0.0836,0.05355
112,F34,1,10,M,B,58,0.0089,0.1014,0.625
113,F34,1,10,M,B,58,0.0463,0.0784,0.60265
114,F34,1,6,F,B,57,0.0125,0.258,0.7723
115,F34,1,6,F,B,57,0.0231,0.0374,0.21425
116,F34,1,6,M,B,57,0.0125,0.3701,0.14735
117,F34,1,6,M,B,57,0.073,0.1619,0.59375
118,F34,1,6,M,B,57,0.0142,0.1032,0.2991
119,F34,1,6,M,B,57,0.0107,0.0979,0.0759
120,F34,1,4,F,W,63,0.0036,0.0357,0.41075
121,F34,1,4,F,W,63,0.0125,0.4046,0.15175
122,F34,1,4,F,W,63,0.0214,0.0535,0.21875
123,F34,1,4,F,W,63,0.0036,0.0143,0.6518
124,F34,1,3,F,W,63,0.0125,0.0285,0.6473
125,F34,1,3,M,W,63,0.0125,0.073,0.3482
126,F34,1,3,M,W,63,0.0249,0.0943,0.5536
127,F34,1,11,M,A,63,0.0267,0.1141,0.0268
128,F34,1,11,M,A,63,0.0925,0.0588,0.46875
129,F34,1,11,M,A,63,0.0534,0.1569,0.10715
130,F34,1,11,M,A,63,0.073,0.1123,0.01785
131,F34,1,11,F,A,63,0.0233,0.0676,0.0134
132,F34,1,11,F,A,63,0.0484,0.0623,0.36605
133,F34,1,11,F,B,63,0.0197,0.0196,0.01785
134,F34,1,11,M,B,63,0.0374,0.0268,0.05805
135,F34,1,11,F,B,63,0.0251,0.0552,0.10715
136,F34,1,11,F,B,63,0.0071,0.0285,0.14735
137,F34,1,11,F,B,63,0.0196,0.0071,0.00895
138,F34,1,4,M,NA,62,0.0623,0.073,0.20985
139,F34,1,4,M,B,62,0.0302,0.1904,0.2366
140,F34,1,4,F,B,62,0.05,0.1087,0.3214
142,F34,1,13,F,W,61,0.0036,0.0679,0.8482
143,F34,1,13,F,W,61,0.0214,0.0268,0.55805
144,F34,1,13,F,W,61,0.0178,0.2,0.67855
145,F34,1,13,M,W,61,0.0409,0.2638,0.4732
146,F34,1,13,F,W,61,0.0089,0.0231,0.5893
147,F34,1,13,M,W,61,0.0214,0.0321,0.31695
148,F34,1,13,M,W,61,0.016,NA,0.89285
149,F34,1,13,M,W,61,0.0374,0.016,0.5446
150,F34,1,13,F,W,61,0,0.1246,0.75895
151,F34,1,13,M,W,61,0,0.0071,0.07145
152,F34,1,13,M,W,61,0.0285,0.2585,0.27675
153,F34,1,13,F,W,61,0.0107,0.0107,0.6473
154,F34,1,13,F,W,61,0.0143,0.0196,0.49105
155,F34,1,4,M,W,61,0,0.3054,0.9643
157,F34,1,4,M,W,61,0.0054,0.0393,0.2143
158,F34,1,4,M,W,61,0.0268,0.0054,0.41965
159,F34,1,13,F,A,61,0,0.1726,0.3036
160,F34,1,13,F,A,61,0.0375,0.0391,0.0982
161,F34,1,13,M,A,61,NA,NA,NA
162,F34,1,13,F,A,61,0.0286,0.0463,0.01785
163,F34,1,13,F,A,61,0.0786,0.0712,0.2411
165,F34,1,13,F,B,61,0.0696,0.0641,0.1964
166,F34,1,13,M,B,61,NA,NA,NA
167,F34,1,13,F,B,61,0.0286,0.0446,0.0982
168,F34,1,13,F,B,61,0.0179,0.0267,0.30805
169,F34,1,13,F,B,61,0.0286,0.0232,0.1652
170,F34,1,13,F,B,61,0.0304,0.0446,0.04465
172,F34,1,3,M,W,61,0.0214,0.0179,0.375
173,F34,1,3,M,W,61,NA,NA,NA
175,F34,1,8,F,A,61,0.0677,0.0963,0.6518
176,F34,1,8,F,A,61,0.0178,0.2656,0.64735
177,F34,1,8,M,B,61,0.0391,0.0587,0.27675
178,F34,1,8,M,B,61,0.0214,0.1512,0.6473
179,F34,1,8,M,B,61,0.0196,0.3594,0.8884
180,F34,1,8,M,W,61,0.0089,0.0231,0.8036
181,F34,1,8,F,W,61,0.0196,0.1408,0.41965
182,F34,1,8,M,W,61,0.0071,0.2687,0.57585
183,F34,1,10,F,B,60,NA,NA,NA
184,F34,1,10,F,B,60,NA,NA,NA
185,F34,1,10,M,B,60,0.0249,0.0409,0.08485
186,F34,1,10,M,B,60,0.0518,0.0409,0.2411
187,F34,1,10,F,B,60,NA,NA,NA
188,F34,1,10,M,B,60,0.0536,0.0249,0.19195
189,F34,1,10,M,B,60,0.0768,0.0765,0.16515
190,F34,1,10,F,B,60,NA,NA,NA
191,F34,1,10,F,B,60,NA,NA,NA
192,F34,1,10,M,W,60,0.0643,0.0214,0.0759
193,F34,1,5,M,B,60,0.0552,0.0625,0.4643
194,F34,1,5,M,B,60,0.0267,0.3071,0.9375
195,F34,1,5,F,B,60,0.0428,0.0588,0.0402
196,F34,1,5,M,W,60,0.0231,0.125,0.3616
197,F34,1,5,F,W,60,0.0071,0.0089,0.3661
198,F34,1,10,M,B,60,0.0552,0.0286,0.25
199,F34,1,10,F,B,60,0.048,0.1014,0.10265
200,F34,1,10,F,B,60,0.0356,0.0089,0.4598
201,F34,1,10,M,B,60,0.0463,0.0768,0.3125
202,F34,1,10,M,B,60,0.0961,0.0375,0.13835
203,F34,1,10,M,B,60,0.1089,0.016,0.4598
204,F34,1,10,F,B,60,0.0747,0.0517,0.3839
205,F34,1,10,F,B,60,0.073,0.0214,0.00895
206,F34,1,10,F,B,60,0.0623,0.0784,0.08035
207,F34,1,10,M,B,60,0.0607,0.0553,0.125
208,F34,1,6,M,B,59,0.0142,0.0107,0.07145
209,F34,1,6,M,B,59,0.0694,0.0338,0.12055
210,F34,1,6,F,B,59,0.0036,0.0463,0.13395
211,F34,1,6,F,B,59,0.0411,0.1512,0.16965
212,F34,1,6,M,B,59,0.0445,0.1085,0.1071
213,F34,1,6,M,B,59,0.0694,0.1762,0.30355
214,F34,1,7,M,B,59,0.0285,0.137,0.3884
215,F34,1,7,M,B,59,0.0321,0.1797,0.37055
216,F34,1,7,M,B,59,0.0393,0.4021,0.875
217,F34,1,7,M,B,59,0.0518,0.1566,0.4732
218,F34,1,7,F,B,59,0.0304,0.1601,0.2768
219,F34,1,7,F,B,59,0.0125,0.4217,0.75895
220,F34,1,7,M,B,59,0.0143,0.4324,0.72765
221,F34,1,8,F,A,59,0.0214,0.2171,0.5759
222,F34,1,8,M,A,59,0.0499,0.1103,NA
224,F34,1,8,M,A,59,0.0499,0.0961,NA
225,F34,1,8,M,B,59,0.057,0.1975,NA
226,F34,1,8,F,B,59,0.0285,0.1423,0.42855
227,F34,1,8,M,B,59,0.0517,0.1441,NA
228,F34,1,8,M,B,59,0.0569,0.3107,0.3393
229,F34,1,10,F,NA,57,0.0446,0.0446,0.3393
230,F34,1,10,F,B,57,0.032,0.0943,0.26785
231,F34,1,10,M,B,57,0.032,0.258,0.6607
232,F34,1,7,F,A,64,0.0142,0.1851,0.90175
233,F34,1,10,M,B,57,0.0409,0.2616,0.7366
234,F34,1,7,F,A,64,0.1103,0.194,0.625
235,F34,1,7,M,A,64,0.0125,0.0838,0.23215
236,F34,1,7,F,A,64,0.0712,0.1655,0.1116
237,F34,1,7,F,A,64,0.0907,0.1655,0.01785
238,F34,1,7,M,A,64,0.0676,0.0232,0.3616
240,F34,1,5,M,A,63,0.1299,0.1426,0.05805
241,F34,1,5,M,A,63,0.0854,0.0802,0.3527
242,F34,1,5,F,A,63,0.0642,0.0979,0.26785
243,F34,1,5,F,A,63,NA,0.1281,0.4643
244,F34,1,5,F,A,63,0.0624,0.3345,0.41515
245,F34,1,5,M,W,63,0.0357,0.016,0.375
246,F34,1,5,M,A,63,0.0838,0.1087,0.27235
247,F34,1,5,M,A,63,0.0784,0.0535,0.08485
248,F34,1,5,M,B,63,0.0285,0.0696,0.09375
249,F34,1,5,M,B,63,0.0499,0.0554,0.3393
250,F34,1,10,F,B,63,0.0231,0.1032,0.183
251,F34,1,10,F,B,63,0.0569,0.258,0.46875
252,F34,1,10,M,B,63,0.0161,0.2745,0.6205
253,F34,1,10,M,B,63,0.0501,0.1087,0.2545
254,F34,1,10,M,B,63,0.0823,0.1497,0.58035
255,F34,1,10,M,B,63,0.0376,0.2406,0.86165
256,F34,1,10,F,B,63,0.0214,0.0285,0.4732
257,F34,1,10,F,B,63,0.0606,0.1123,0.6384
258,F34,1,10,F,B,63,0.0553,NA,0.6607
260,F34,1,10,F,B,63,0.0409,0.0178,0
261,F34,1,10,M,B,63,0.0927,0.1123,0.00895
262,F34,1,10,M,B,63,0.0196,0.0249,0.0134
263,F34,1,10,F,B,63,0.0587,0.2028,0.1964
264,F34,1,10,M,B,63,0.0676,0.0249,0.07145
265,F34,1,10,M,B,63,0.0569,0.0267,0.0268
266,F34,1,10,M,B,63,0.0712,0.1014,0.0223
267,F34,1,10,M,W,63,0.0516,0.0712,0.1518
268,F34,1,10,M,W,63,0.0409,0.0285,0.03575
269,F34,1,10,M,W,63,0.0196,0.0178,0.2232
270,F34,1,6,F,B,62,0.0427,0.1584,0.30355
271,F34,1,6,F,B,62,0.0534,0.1228,0.24105
272,F34,1,6,M,B,62,0.0765,0.0963,0.36165
273,F34,1,6,M,B,62,0.0569,0.1212,0.0402
274,F34,1,6,M,W,62,0.0427,0.0588,0.0625
275,F34,1,6,M,W,62,0.0107,0.0302,0.2545
276,F34,1,3,M,A,62,0.0802,0.2089,0.19195
277,F34,1,3,M,A,62,0.0644,0.2117,0.65625
280,F34,1,11,M,B,62,0.0716,0.0427,0.08035
281,F34,1,11,M,B,62,0.0644,0.0125,0.0223
282,F34,1,11,M,B,62,0.0698,0.0302,0.01785
283,F34,1,11,M,W,62,0.0626,0.0374,0.20535
284,F34,1,11,F,W,62,0.0178,0.0338,0.49105
285,F34,1,11,M,W,62,0.0338,0.0143,0.2634
286,F34,1,11,F,W,62,0.0498,0.0214,0.3482
287,F34,1,11,F,W,62,0.0089,0.0125,0.5134
288,F34,1,11,M,W,62,0.0125,0.0499,0.7366
289,F34,1,3,F,B,62,0.0178,0.0783,0.0268
290,F34,1,6,F,B,62,0.0321,0.1993,0.28125
291,F34,1,6,M,B,62,0.0232,0.0819,0.45985
293,F34,1,6,M,W,62,0.0624,0.0178,0.1696
295,F34,1,6,M,W,62,0.0107,0.1121,0.1696
296,F34,1,6,M,W,62,0.0214,0.0996,0.21425
298,F34,1,6,F,A,62,0.0427,0.2384,0.41515
300,F34,1,6,F,A,62,0.0463,0.1423,0.0759
301,F34,1,6,F,NA,62,0.0143,0.0143,0.05355
302,F34,1,6,M,B,62,0.0249,0.0374,0.21875
303,F34,1,6,F,B,62,0.0446,0.0374,0.28125
304,F34,1,6,F,B,62,0.0339,0.0374,0.10715
306,F34,1,10,M,B,61,0.0463,0.0142,0.18305
307,F34,1,10,F,B,61,0.0535,0.0036,0.28125
308,F34,1,10,F,B,61,0.0695,0.0694,0.3571
309,F34,1,10,F,W,61,0.0125,0.0374,0.0893
310,F34,1,10,M,W,61,0.0427,0.0231,0.5223
311,F34,1,10,M,W,61,0.0267,0.0071,0.2143
312,F34,1,10,F,W,61,0,0.0089,0.1741
313,F34,1,10,M,W,61,0.0125,0.0356,0.22765
314,F34,1,10,F,W,61,0.0196,0.0374,0.60265
315,F34,1,10,F,W,61,0.0107,0.0142,0.15175
316,F34,1,4,M,B,61,0.0178,NA,0.8036
317,F34,1,4,M,B,61,0.0409,0.0411,0.23215
318,F34,1,4,M,B,61,0.0694,0.2196,0.34825
319,F34,1,4,M,B,61,0.0178,0.1,0.0402
320,F34,1,12,M,W,61,0.048,0.0925,0.8527
321,F34,1,12,M,W,61,0.0231,0.0925,0.34375
322,F34,1,12,F,W,61,0.0196,0.0214,0.57145
323,F34,1,12,M,W,61,0.0463,0.0409,0.183
324,F34,1,12,F,W,61,0.0036,0.0178,0.2143
325,F34,1,12,M,W,61,0.0302,0.0089,0.1339
326,F34,1,12,M,W,61,0.0338,0.0107,0.44195
327,F34,1,12,F,W,61,0.0071,0.0249,0.49105
328,F34,1,12,M,W,61,0.0427,0.0089,0.3884
329,F34,1,12,F,W,61,0.0036,0.0302,0.51335
330,F34,1,12,F,W,61,0.0071,0.0214,0.2232
331,F34,1,12,M,W,61,0.025,0.0125,0.16965
332,F34,1,8,M,B,61,0.0605,0.1121,0.1875
333,F34,1,8,F,B,61,0.0178,0.0409,0.4509
334,F34,1,8,F,B,61,0.0338,0.1477,0.46875
335,F34,1,8,M,B,61,0.0302,0.1016,0.16965
336,F34,1,8,M,B,61,0.0498,0.1551,0.7098
337,F34,1,8,M,B,61,0.0587,0.1551,0.5982
338,F34,1,8,M,B,61,0.0463,0.29,0.6875
339,F34,1,8,M,B,61,0.1103,0.0676,0.44645
340,F34,1,7,M,B,61,0.0587,0.137,0.07145
341,F34,1,7,M,B,61,0.0214,0.2687,0.66515
342,F34,1,7,F,B,61,0.0447,0.089,0.46875
343,F34,1,7,F,B,61,0.068,0.0658,0.09375
344,F34,1,7,M,B,61,0.0107,0.0979,0.3884
345,F34,1,7,M,W,61,0.0196,0.0142,0.12945
346,F34,1,7,F,W,61,0.025,0.0427,0.2232
347,F34,1,7,F,B,57,0.016,0.0143,0.01785
350,F34,1,7,F,B,57,0.0427,0.0556,0.1384
351,F34,1,7,F,B,57,0.0783,0.0609,0.08485
352,F34,1,7,F,W,57,0.0125,0.0214,0.0402
353,F34,1,7,M,W,57,0.0302,0.0534,0.1518
354,F34,1,7,F,W,57,0.016,0.0214,0.12945
355,F34,1,2,F,B,63,0.032,0.1161,0.18305
356,F34,1,2,F,W,63,0.0142,0.0607,0.34375
357,F34,1,3,M,A,51,0.0676,NA,0.81695
358,F34,1,3,F,W,51,0.0249,0.0214,0.57145
359,F34,1,3,M,W,51,0.0285,0.137,0.3348
360,F34,2,9,M,A,51,0.0356,0.1317,0.125
361,F34,2,9,F,A,51,0.0107,0.1317,0.39735
362,F34,2,9,M,A,51,0.032,0.1423,0.6741
363,F34,2,9,F,A,51,0.0214,0.411,0.7277
364,F34,2,9,F,B,51,0.0285,0.169,0.1473
365,F34,2,9,M,B,51,0.0712,0.1833,0.1384
366,F34,2,9,F,B,51,0.0463,0.1673,0.1786
367,F34,2,9,F,B,51,0.0285,0.1248,0.04465
368,F34,2,9,M,B,51,0.0765,0.1477,0.1652
369,F34,2,8,M,B,50,0.0196,0.0982,0.34375
370,F34,2,8,F,B,50,0.0516,0.0268,0.0893
